Ano;DscClassificacao;Descricao Categoria;Agente;CNPJ;Ordem IASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaSatisfacao
2019;Concessionária;Sul acima de 400 mil unidades consumidoras;RGE;02.016.440./000.1-62;17;74,9;74,0;42,4;29,5;73,2;7,8;8,1;7,1;7,8;7,8;7,5;7,7
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Minas Gerais;19.527.639./006.6-01;18;76,4;73,9;42,2;31,6;73,7;7,8;8,2;7,0;7,9;8,0;7,7;7,6
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Minas Gerais;19.527.639./000.1-58;18;76,4;73,9;42,2;31,6;73,7;7,8;8,2;7,0;7,9;8,0;7,7;7,6
2019;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Paulista;33.050.196./000.1-88;19;76,8;73,7;39,2;27,9;73,5;7,7;8,1;7,1;7,9;8,0;7,9;7,6
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Nova Palma;89.889.604./000.1-44;20;75,2;73,5;35,7;28,8;73,2;7,7;8,0;7,1;7,8;8,0;7,5;7,6
2019;Concessionária;Sul acima de 400 mil unidades consumidoras;CEEE-D;08.467.115./000.1-00;21;73,8;73,2;42,0;30,8;71,7;7,8;8,0;7,0;7,8;7,7;7,4;7,6
2019;Concessionária;Centro-Oeste acima de 30 mil unidades consumidoras;Neoenergia Brasília;07.522.669./000.1-92;22;74,5;73,0;38,7;27,1;71,2;7,7;7,9;7,1;7,8;7,8;7,5;7,6
2019;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Piratininga;04.172.213./000.1-51;23;74,9;72,8;35,0;27,7;70,0;7,7;8,0;7,0;7,6;7,9;7,7;7,5
2019;Concessionária;Sudeste acima de 400 mil unidades consumidoras;EDP Espírito Santo;28.152.650./000.1-71;24;73,6;72,7;34,4;31,6;70,6;7,6;8,1;7,0;7,7;7,7;7,5;7,5
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Nova Friburgo;33.249.046./000.1-06;25;76,1;72,1;33,6;26,7;70,8;7,6;7,9;6,9;7,9;8,0;7,7;7,5
